150, 0, 150, 50
450, 0, 150, 50
50, 50, 50, 100
350, 50, 50, 50
650, 50, 50, 50
150, 100, 50, 50
250, 100, 50, 50
450, 100, 150, 50
0, 200, 50, 50
100, 200, 100, 50
250, 200, 100, 50
350, 150, 50, 150
450, 200, 50, 50
550, 200, 50, 50
650, 150, 50, 200
50, 300, 150, 50
250, 300, 50, 50
350, 300, 100, 50
500, 300, 100, 50
50, 400, 250, 50
350, 400, 50, 100
450, 400, 100, 100
550, 400, 50, 50
650, 400, 100, 50
50, 500, 150, 100
250, 500, 50, 100
600, 500, 100, 100
300, 550, 50, 50
400, 550, 150, 50
50, 650, 50, 50
150, 650, 50, 100
250, 650, 100, 50
400, 650, 200, 50
650, 650, 50, 50
