50, 50, 300, 50
400, 50, 300, 50
50, 150, 100, 50
200, 150, 50, 50
300, 150, 150, 50
500, 150, 50, 50
600, 150, 100, 50
50, 200, 50, 150
350, 200, 50, 150
650, 200, 50, 150
150, 250, 50, 100
250, 250, 50, 100
450, 250, 50, 100
550, 250, 50, 100
0, 400, 50, 200
100, 400, 50, 200
200, 400, 50, 100
350, 400, 50, 200
450, 400, 50, 100
600, 400, 50, 200
700, 400, 50, 200
250, 450, 50, 50
500, 450, 50, 50
150, 550, 100, 50
300, 550, 150, 50
500, 550, 150, 50
50, 650, 300, 50
400, 650, 300, 50
