50, 50, 50, 150
150, 50, 50, 50
250, 50, 200, 50
500, 50, 200, 50
100, 150, 100, 50
250, 150, 50, 150
350, 150, 50, 400
450, 150, 150, 50
650, 100, 50, 200
50, 250, 100, 50
50, 250, 50, 150
200, 250, 50, 50
450, 250, 50, 50
550, 250, 100, 50
150, 350, 400, 50
600, 350, 100, 50
50, 450, 100, 50
200, 450, 100, 50
450, 450, 100, 50
600, 450, 100, 50
50, 550, 50, 50
150, 550, 50, 100
250, 550, 50, 50
450, 550, 50, 50
550, 550, 50, 100
650, 550, 50, 50
350, 600, 50, 100
50, 650, 250, 50
450, 650, 250, 50
